ISO3,country,L,M,H,lon,lat,cumscc,cumpop,id
UZB,Uzbekistan,0.0404049324927993,0.229548667758156,0.479862334142731,63.14001528,41.75554225,-0.109988648110112,0.147485269723454,160
VCT,St. Vincent & Grenadines,0.00518625477384859,0.00871394808594272,0.0156913055564669,-61.20129695,13.22472269,0.402666553854497,0.858887303217749,161
VEN,Venezuela,4.07674022044377,7.25445022699831,12.3468052927678,-66.18184123,7.12422421,0.705443913116335,0.984825960359279,162
VNM,Vietnam,1.74033483478838,2.80462206904149,4.51555934085205,106.29914698,16.6460167,-0.0102508250363122,0.453869996390912,163
VUT,Vanuatu,0.00312686601467079,0.00520470884419424,0.00825374844341589,167.68644636,-16.22640909,-0.0366296919871592,0.393077031216297,164
WLD,,176.911026312451,417.505529376254,805.539993412105,0,0,0,0,165
WSM,Samoa,0.0025942060000983,0.00420546952291347,0.00732140982037737,-172.16485064,-13.75324346,-0.0274003670515311,0.419933856750284,166
YEM,Yemen,0.618276944663861,1.05150366972308,1.76008035274262,47.58676189,15.90928005,0.000214896501641255,0.471540773767842,167
ZAF,South Africa,1.68656733402042,3.31159799095654,5.61390338020683,25.08390093,-29.00034095,0.122084957072941,0.618840761984414,168
ZMB,Zambia,0.228747259161799,0.389703185040433,0.644419067246126,27.77475946,-13.45824152,-0.026439241512009,0.422177865750125,169
ZWE,Zimbabwe,0.0147247858770875,0.0241898030834169,0.0366632584826714,29.8514412,-19.00420419,-0.114017340867223,0.110275294463363,170
